id;identificaciontitular;nombre_titular;apellido_titular;numero_cuenta;tipo_cuenta;codigo_seguridad;fecha_vencimiento
1;De-engineered strategic integrate;array payment;optical transmitter;Utah COM;Botswana;zero defect;2019-08-19
2;Denmark;Small Metal Computer Multi-channelled Sausages;artificial intelligence;Arizona Congolese Franc;Architect Developer;Automotive;2019-08-19
3;Facilitator Minnesota;Borders;open-source Burundi;Music;Metal;lime Chilean Peso Unidades de fomento Officer;2019-08-19
4;Swiss Franc communities XSS;Quality-focused;parsing Identity;Health Polarised transmitting;Rhode Island Music Data;Dynamic Savings Account Branding;2019-08-18
5;Guarani Colorado;deposit Orchestrator;utilisation;recontextualize USB primary;optimal Refined;unleash system engine;2019-08-19
6;solid state program;help-desk SAS embrace;Nigeria;firmware;seamless mesh;disintermediate Jordan Savings Account;2019-08-19
7;eyeballs Movies;Savings Account Pakistan Rupee;connect Berkshire;XSS Suriname;Lead cross-platform;enable;2019-08-19
8;Illinois Kyrgyz Republic;unleash Slovenia;monitor Operations Sports;synergies;deposit Principal Profound;streamline azure Inlet;2019-08-19
9;Shoes;Open-source multi-tasking;Data;Moldova archive;monitor morph;networks Granite Computer;2019-08-19
10;Bacon Cocos (Keeling) Islands card;multi-byte;Universal;supply-chains Licensed connecting;Sleek Rubber Computer Solutions;invoice Cambridgeshire;2019-08-19
